 frequency       db(v(Vout))     180*cph(v(Vout))/pi v(Vout)         v(Vout)        
 5.62341325e+06 -1.29266801e+01 -9.92584750e+01 -3.63237898e-02 -2.22828678e-01 
 6.30957344e+06 -1.39516428e+01 -1.03645225e+02 -4.73328664e-02 -1.94977107e-01 
 7.07945784e+06 -1.50160362e+01 -1.08329812e+02 -5.58213163e-02 -1.68493936e-01 
 7.94328235e+06 -1.61334096e+01 -1.13388255e+02 -6.19549483e-02 -1.43249994e-01 
 8.91250938e+06 -1.73256051e+01 -1.18878302e+02 -6.57086661e-02 -1.19137655e-01 
 1.00000000e+07 -1.86234139e+01 -1.24796459e+02 -6.68665437e-02 -9.62210378e-02 
 1.12201845e+07 -2.00602261e+01 -1.31017431e+02 -6.51753784e-02 -7.49296435e-02 
 1.25892541e+07 -2.16536822e+01 -1.37281261e+02 -6.07325686e-02 -5.60791892e-02 
 1.41253754e+07 -2.33876952e+01 -1.43340028e+02 -5.43117866e-02 -4.04237646e-02 
 1.58489319e+07 -2.52283549e+01 -1.49200163e+02 -4.70495942e-02 -2.80470053e-02 
 1.77827941e+07 -2.71725841e+01 -1.55138836e+02 -3.97315655e-02 -1.84100557e-02 
 1.99526231e+07 -2.92750619e+01 -1.61426086e+02 -3.25848428e-02 -1.09494978e-02 
 2.23872114e+07 -3.16343834e+01 -1.68060123e+02 -2.56319613e-02 -5.42013609e-03 
 2.51188643e+07 -3.43689628e+01 -1.74648944e+02 -1.90394791e-02 -1.78335257e-03 
 2.81838293e+07 -3.75989047e+01 -1.80321224e+02 -1.31840226e-02  7.39159397e-05 
 3.16227766e+07 -4.14223158e+01 -1.83537006e+02 -8.47336980e-03  5.23746971e-04 
 3.54813389e+07 -4.58434763e+01 -1.81714034e+02 -5.10072400e-03  1.52636388e-04 
 3.98107171e+07 -5.05227513e+01 -1.71121521e+02 -2.94189555e-03 -4.59556500e-04 
 4.46683592e+07 -5.43934570e+01 -1.50526559e+02 -1.66011343e-03 -9.38231397e-04 
 5.01187234e+07 -5.67220653e+01 -1.27688544e+02 -8.91661527e-04 -1.15415206e-03 
 5.62341325e+07 -5.84281947e+01 -1.07857491e+02 -3.67480217e-04 -1.14063340e-03 
 6.30957344e+07 -6.00635137e+01 -8.63972306e+01  6.23809403e-05 -9.90752475e-04 
 7.07945784e+07 -6.07667293e+01 -5.99303406e+01  4.58719069e-04 -7.92298602e-04 
 7.94328235e+07 -5.97536818e+01 -3.59248833e+01  8.33079911e-04 -6.03600844e-04 
 8.91250938e+07 -5.79814795e+01 -2.10515819e+01  1.17740934e-03 -4.53181701e-04 
 1.00000000e+08 -5.63573518e+01 -1.32343850e+01  1.48061571e-03 -3.48212857e-04 
 1.12201845e+08 -5.50965254e+01 -9.28487717e+00  1.73558604e-03 -2.83742753e-04 
 1.25892541e+08 -5.41691983e+01 -7.33260588e+00  1.94076883e-03 -2.49740880e-04 
 1.41253754e+08 -5.35043684e+01 -6.40131588e+00  2.09925614e-03 -2.35518123e-04 
 1.58489319e+08 -5.30371059e+01 -5.97410046e+00  2.21707121e-03 -2.32010363e-04 
 1.77827941e+08 -5.27155865e+01 -5.77105642e+00  2.30151556e-03 -2.32604855e-04 
 1.99526231e+08 -5.24998809e+01 -5.64125339e+00  2.35992121e-03 -2.33107916e-04 
 2.23872114e+08 -5.23596546e+01 -5.50740185e+00  2.39887623e-03 -2.31298289e-04 
 2.51188643e+08 -5.22721464e+01 -5.33522785e+00  2.42385762e-03 -2.26357673e-04 
 2.81838293e+08 -5.22205493e+01 -5.11525107e+00  2.43915526e-03 -2.18343252e-04 
 3.16227766e+08 -5.21927012e+01 -4.85142649e+00  2.44797073e-03 -2.07774711e-04 
 3.54813389e+08 -5.21800081e+01 -4.55399569e+00  2.45259783e-03 -1.95349459e-04 
 3.98107171e+08 -5.21765570e+01 -4.23512011e+00  2.45462212e-03 -1.81768952e-04 
 4.46683592e+08 -5.21783977e+01 -3.90640348e+00  2.45510421e-03 -1.67647878e-04 
 5.01187234e+08 -5.21829766e+01 -3.57767296e+00  2.45473128e-03 -1.53478278e-04 
 5.62341325e+08 -5.21887054e+01 -3.25655525e+00  2.45393388e-03 -1.39626127e-04 
 6.30957344e+08 -5.21946436e+01 -2.94851237e+00  2.45297152e-03 -1.26344529e-04 
 7.07945784e+08 -5.22002721e+01 -2.65710852e+00  2.45199294e-03 -1.13793478e-04 
 7.94328235e+08 -5.22053370e+01 -2.38436286e+00  2.45107716e-03 -1.02060456e-04 
 8.91250938e+08 -5.22097444e+01 -2.13110484e+00  2.45026073e-03 -9.11789996e-05 
 1.00000000e+09 -5.22134918e+01 -1.89729039e+00  2.44955534e-03 -8.11441490e-05 
 1.12201845e+09 -5.22166255e+01 -1.68226295e+00  2.44895892e-03 -7.19246189e-05 
 1.25892541e+09 -5.22192135e+01 -1.48495800e+00  2.44846245e-03 -6.34720086e-05 
 1.41253754e+09 -5.22213301e+01 -1.30405681e+00  2.44805402e-03 -5.57275403e-05 
 1.58489319e+09 -5.22230476e+01 -1.13809779e+00  2.44772113e-03 -4.86268353e-05 
