 v-sweep         v(Vout)         v-sweep         v(V2)           v-sweep         v(V1)          
 1.30000000e+00  1.79776464e+00  1.30000000e+00  5.00000000e-01  1.30000000e+00  1.30000000e+00 
 1.31000000e+00  1.79776465e+00  1.31000000e+00  5.00000000e-01  1.31000000e+00  1.31000000e+00 
 1.32000000e+00  1.79776466e+00  1.32000000e+00  5.00000000e-01  1.32000000e+00  1.32000000e+00 
 1.33000000e+00  1.79776467e+00  1.33000000e+00  5.00000000e-01  1.33000000e+00  1.33000000e+00 
 1.34000000e+00  1.79776468e+00  1.34000000e+00  5.00000000e-01  1.34000000e+00  1.34000000e+00 
 1.35000000e+00  1.79776468e+00  1.35000000e+00  5.00000000e-01  1.35000000e+00  1.35000000e+00 
 1.36000000e+00  1.79776469e+00  1.36000000e+00  5.00000000e-01  1.36000000e+00  1.36000000e+00 
 1.37000000e+00  1.79776470e+00  1.37000000e+00  5.00000000e-01  1.37000000e+00  1.37000000e+00 
 1.38000000e+00  1.79776470e+00  1.38000000e+00  5.00000000e-01  1.38000000e+00  1.38000000e+00 
 1.39000000e+00  1.79776471e+00  1.39000000e+00  5.00000000e-01  1.39000000e+00  1.39000000e+00 
 1.40000000e+00  1.79776472e+00  1.40000000e+00  5.00000000e-01  1.40000000e+00  1.40000000e+00 
 1.41000000e+00  1.79776472e+00  1.41000000e+00  5.00000000e-01  1.41000000e+00  1.41000000e+00 
 1.42000000e+00  1.79776473e+00  1.42000000e+00  5.00000000e-01  1.42000000e+00  1.42000000e+00 
 1.43000000e+00  1.79776473e+00  1.43000000e+00  5.00000000e-01  1.43000000e+00  1.43000000e+00 
 1.44000000e+00  1.79776474e+00  1.44000000e+00  5.00000000e-01  1.44000000e+00  1.44000000e+00 
 1.45000000e+00  1.79776475e+00  1.45000000e+00  5.00000000e-01  1.45000000e+00  1.45000000e+00 
 1.46000000e+00  1.79776475e+00  1.46000000e+00  5.00000000e-01  1.46000000e+00  1.46000000e+00 
