 v-sweep         v(Vout)         v(V1)           v(V2)          
 2.20000000e-01  2.21553574e-02  2.20000000e-01  5.00000000e-01 
 2.21000000e-01  2.21557655e-02  2.21000000e-01  5.00000000e-01 
 2.22000000e-01  2.21561851e-02  2.22000000e-01  5.00000000e-01 
 2.23000000e-01  2.21566189e-02  2.23000000e-01  5.00000000e-01 
 2.24000000e-01  2.21570602e-02  2.24000000e-01  5.00000000e-01 
 2.25000000e-01  2.21575140e-02  2.25000000e-01  5.00000000e-01 
 2.26000000e-01  2.21579799e-02  2.26000000e-01  5.00000000e-01 
 2.27000000e-01  2.21584618e-02  2.27000000e-01  5.00000000e-01 
 2.28000000e-01  2.21589558e-02  2.28000000e-01  5.00000000e-01 
 2.29000000e-01  2.21594624e-02  2.29000000e-01  5.00000000e-01 
 2.30000000e-01  2.21599816e-02  2.30000000e-01  5.00000000e-01 
 2.31000000e-01  2.21605163e-02  2.31000000e-01  5.00000000e-01 
 2.32000000e-01  2.21610654e-02  2.32000000e-01  5.00000000e-01 
 2.33000000e-01  2.21616280e-02  2.33000000e-01  5.00000000e-01 
 2.34000000e-01  2.21622075e-02  2.34000000e-01  5.00000000e-01 
 2.35000000e-01  2.21628028e-02  2.35000000e-01  5.00000000e-01 
 2.36000000e-01  2.21634132e-02  2.36000000e-01  5.00000000e-01 
 2.37000000e-01  2.21640410e-02  2.37000000e-01  5.00000000e-01 
 2.38000000e-01  2.21646847e-02  2.38000000e-01  5.00000000e-01 
 2.39000000e-01  2.21653464e-02  2.39000000e-01  5.00000000e-01 
 2.40000000e-01  2.21660280e-02  2.40000000e-01  5.00000000e-01 
 2.41000000e-01  2.21667251e-02  2.41000000e-01  5.00000000e-01 
 2.42000000e-01  2.21674430e-02  2.42000000e-01  5.00000000e-01 
 2.43000000e-01  2.21681796e-02  2.43000000e-01  5.00000000e-01 
 2.44000000e-01  2.21689380e-02  2.44000000e-01  5.00000000e-01 
 2.45000000e-01  2.21697140e-02  2.45000000e-01  5.00000000e-01 
 2.46000000e-01  2.21705128e-02  2.46000000e-01  5.00000000e-01 
 2.47000000e-01  2.21713341e-02  2.47000000e-01  5.00000000e-01 
 2.48000000e-01  2.21721769e-02  2.48000000e-01  5.00000000e-01 
 2.49000000e-01  2.21730435e-02  2.49000000e-01  5.00000000e-01 
 2.50000000e-01  2.21739312e-02  2.50000000e-01  5.00000000e-01 
 2.51000000e-01  2.21748426e-02  2.51000000e-01  5.00000000e-01 
 2.52000000e-01  2.21757815e-02  2.52000000e-01  5.00000000e-01 
 2.53000000e-01  2.21767459e-02  2.53000000e-01  5.00000000e-01 
 2.54000000e-01  2.21777341e-02  2.54000000e-01  5.00000000e-01 
 2.55000000e-01  2.21787491e-02  2.55000000e-01  5.00000000e-01 
 2.56000000e-01  2.21797933e-02  2.56000000e-01  5.00000000e-01 
 2.57000000e-01  2.21808645e-02  2.57000000e-01  5.00000000e-01 
 2.58000000e-01  2.21819674e-02  2.58000000e-01  5.00000000e-01 
 2.59000000e-01  2.21830983e-02  2.59000000e-01  5.00000000e-01 
 2.60000000e-01  2.21842596e-02  2.60000000e-01  5.00000000e-01 
 2.61000000e-01  2.21854537e-02  2.61000000e-01  5.00000000e-01 
 2.62000000e-01  2.21866781e-02  2.62000000e-01  5.00000000e-01 
 2.63000000e-01  2.21879362e-02  2.63000000e-01  5.00000000e-01 
 2.64000000e-01  2.21892289e-02  2.64000000e-01  5.00000000e-01 
 2.65000000e-01  2.21905569e-02  2.65000000e-01  5.00000000e-01 
 2.66000000e-01  2.21919211e-02  2.66000000e-01  5.00000000e-01 
 2.67000000e-01  2.21933220e-02  2.67000000e-01  5.00000000e-01 
 2.68000000e-01  2.21947616e-02  2.68000000e-01  5.00000000e-01 
 2.69000000e-01  2.21962395e-02  2.69000000e-01  5.00000000e-01 
 2.70000000e-01  2.21977571e-02  2.70000000e-01  5.00000000e-01 
 2.71000000e-01  2.21993164e-02  2.71000000e-01  5.00000000e-01 
 2.72000000e-01  2.22009188e-02  2.72000000e-01  5.00000000e-01 
 2.73000000e-01  2.22025626e-02  2.73000000e-01  5.00000000e-01 
 2.74000000e-01  2.22042528e-02  2.74000000e-01  5.00000000e-01 
